session_depth;demo.guru99.com%3D1%7C224278574%3D1;demo.guru99.com;/;Tue Aug 28 16:09:05 IST 2018;false
bfp_sn_pl;1535450944_271265888134;.guru99.com;/;Tue Aug 28 16:09:06 IST 2018;false
bafp;64e854b0-aaaa-11e8-8b21-afb9f9ed4fb4;.demo.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
_ga;GA1.2.982811179.1535450945;.guru99.com;/;Thu Aug 27 15:39:11 IST 2020;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Tue Aug 28 15:40:04 IST 2018;false
bfp_sn_rf_8b2087b102c9e3e5ffed1c1478ed8b78;1535450944_271265888134_8b2087b102c9e3e5ffed1c1478ed8b78_Direct;.guru99.com;/;Tue Aug 28 16:09:06 IST 2018;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.1064301305.1535450945;.guru99.com;/;Wed Aug 29 15:39:11 IST 2018;false
